[2026-05-13 15:25:34] INFO  swap=84% compressor=9405MB threshold_swap=0% threshold_comp=5000MB dry_run=1
[2026-05-13 15:41:30] SKIP  PID 52946 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 52966 有活跃父进程 52907，跳过
[2026-05-13 15:41:30] SKIP  PID 52986 有活跃父进程 52908，跳过
[2026-05-13 15:41:30] SKIP  PID 52988 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 53015 有活跃父进程 52946，跳过
[2026-05-13 15:41:30] SKIP  PID 53069 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 53100 有活跃父进程 52681，跳过
[2026-05-13 15:41:30] SKIP  PID 59499 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59500 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59504 有活跃父进程 59500，跳过
[2026-05-13 15:41:30] SKIP  PID 59532 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 59805 有活跃父进程 59554，跳过
[2026-05-13 15:41:30] SKIP  PID 59975 有活跃父进程 59810，跳过
[2026-05-13 15:41:30] SKIP  PID 59976 有活跃父进程 59491，跳过
[2026-05-13 15:41:30] SKIP  PID 60040 有活跃父进程 59935，跳过
[2026-05-13 15:41:30] SKIP  PID 60047 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 60070 有活跃父进程 59976，跳过
[2026-05-13 15:41:31] SKIP  PID 60130 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 60131 有活跃父进程 59491，跳过
[2026-05-13 15:41:31] SKIP  PID 63934 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 63936 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 63939 有活跃父进程 63936，跳过
[2026-05-13 15:41:31] SKIP  PID 63973 有活跃父进程 63875，跳过
[2026-05-13 15:41:31] SKIP  PID 64089 有活跃父进程 63993，跳过
[2026-05-13 15:41:31] SKIP  PID 64127 有活跃父进程 63875，跳过
